ID,NU_NOTA_LC
0,499.6571610585556
1,582.9965250023495
2,518.447158353774
3,464.5662494179484
4,529.4759176690131
5,570.9296438099126
6,496.75549530684816
7,477.2768266480339
8,490.34585684980675
9,619.021580637047
10,605.9242252175574
11,580.1095438685005
12,463.9882867216829
13,602.7673411764155
14,446.40326137886217
15,470.458622447466
16,622.6116310281616
17,603.6381568421722
18,537.6988592316901
19,522.4511128913788
20,501.6511011114608
21,594.6911388861818
22,569.2169851543532
23,485.3158873885649
24,472.07404210416
25,560.5542880975682
26,432.74609621454425
27,534.4554865251129
28,448.7543717906156
29,466.04139989144164
30,520.8947152918971
31,617.7017203960664
32,582.4673401342378
33,553.264009362233
34,550.7992475684117
35,466.3416369544219
36,488.35405076274384
37,519.0295140798755
38,520.7512544325389
39,502.33105109175824
40,483.1864160204681
41,537.4607629309011
42,537.0031507966702
43,450.2443734517469
44,652.7341812282397
45,442.3364095340506
46,485.41885480999343
47,472.2584261227312
48,453.4625673237214
49,540.0577474075021
50,465.3447855935272
51,468.4071232994631
52,509.6624894175416
53,538.005948539051
54,558.8119683534671
55,565.2696631325011
56,482.5136653917979
57,521.915956811603
58,537.2533093969572
59,607.0579937877897
60,510.8646111840449
61,464.52234691838675
62,454.7113934824477
63,530.1321788156847
64,536.6630152081046
65,440.5843428946782
66,526.0167480505596
67,462.6163772533119
68,455.7643180558358
69,528.7588203157242
70,549.1656365088319
71,595.5695886130674
72,508.76426721161044
73,511.8539663581188
74,585.1631111361625
75,493.34583760028556
76,508.74065216518443
77,475.6240662702626
78,569.8330181571855
79,584.9805100802134
80,505.0390167204756
81,568.3448093813872
82,483.56882830331114
83,474.47666263939925
84,483.71920927605964
85,537.5856018696103
86,492.1031432065006
87,525.0540199120774
88,462.74930263555706
89,485.89849892811225
90,494.0186417923718
91,500.76542617996324
92,563.517693757718
93,474.53467110855905
94,585.4635982991866
95,612.042184378364
96,517.8879545194162
97,471.66433105683046
98,501.56083437739835
99,537.0618586731541
100,606.3032763198993
101,514.8383438473305
102,548.8450089802697
103,605.6430917413863
104,530.735899727621
105,637.4001258341616
106,626.939130308937
107,589.624687232125
108,470.6337302463095
109,636.0511384723519
110,550.5889383661737
111,481.55436781702076
112,514.2092997576752
113,619.0467417086815
114,483.63114345191013
115,490.9327012054965
116,504.8440251720625
117,537.9542761415402
118,602.7707773785306
119,557.8942956057773
120,527.961750435509
121,496.58377075991046
122,500.01228979996927
123,618.9894756393711
124,504.91895791150625
125,575.4394028903782
126,489.689815851104
127,484.9507771227606
128,521.739929365458
129,537.3229677918405
130,531.5196177652086
131,467.88657429504417
132,578.410925862689
133,494.9341772177453
134,509.0777344635936
135,558.2349167013693
136,590.9161476218576
137,509.8643377389225
138,467.50911985199804
139,482.84628899565854
140,491.3558457856626
141,485.1911505463468
142,494.84817545597525
143,518.3828880722191
144,534.1369663753899
145,605.5785386403549
146,668.7514506538145
147,562.4484400982224
148,501.05544622830337
149,579.351624090296
150,626.7451582879161
151,473.5081584206452
152,601.1466673036839
153,534.7767430833135
154,545.4160355684918
155,557.8772122812353
156,462.0250489449631
157,482.7066849510341
158,463.15233658932027
159,627.2618705110016
160,615.5403428288282
161,638.1068645260943
162,588.9109451729834
163,431.8183947489145
164,456.95317823209507
165,507.69781894502444
166,551.9325361896514
167,565.7754239091373
168,583.4348881176755
169,598.5265357256125
170,604.1086808480196
171,427.57684553753296
172,596.1575840657805
173,469.3833173100552
174,575.5415909527412
175,484.54559224695834
176,594.8056160777179
177,516.6096850946235
178,559.8119331996525
179,564.3023601208562
180,484.1235187437856
181,502.0103337523916
182,510.0447659817519
183,511.40209574274235
184,505.1085671741153
185,581.9188089941213
186,493.47695980503556
187,628.8805642555648
188,487.37315163028694
189,494.4672122748392
190,527.5667449920386
191,488.3800010984256
192,524.498430737066
193,608.8905533492127
194,582.0438482575624
195,540.6255703131573
196,484.2292377041309
197,585.415758149361
198,530.6083122882585
199,552.9108199667062
200,465.4370069688961
201,614.8375986126184
202,555.7107802760529
203,448.9914152204215
204,545.1991334877196
205,448.4840738000523
206,532.8032040885204
207,448.354494976061
208,588.0999119703021
209,623.1691198060535
210,478.52383276087727
211,536.6985571609457
212,543.2797122713283
213,484.1260000977904
214,540.3922630889324
215,607.364236179391
216,571.1529569901134
217,483.08159760682656
218,543.5133821114579
219,543.6126325160457
220,521.9716780714803
221,475.9915567414896
222,529.1224639297928
223,520.7659422414766
224,490.55412216477004
225,541.1739579996618
226,572.837332071989
227,609.1386071245383
228,623.3266004227563
229,573.3165713402354
230,443.1260876374487
231,558.1426033498841
232,456.84084760325294
